Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
CO;MS;Campo Grande;M;entre 31 a 40 anos;2025-01-03;9;Energisa Mato Grosso do Sul;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Renegociação / parcelamento de dívida;Domicílio;N;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;F;entre 41 a 50 anos;2025-01-18;;Facta Financeira;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Atendimento / SAC;SAC - Descortesia / despreparo / demora;Ganhei de presente;S;N;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;F;entre 41 a 50 anos;2025-01-18;2;Shopee Brasil;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S;PR;Curitiba;M;entre 31 a 40 anos;2025-01-22;8;Sem Parar;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;F;entre 31 a 40 anos;2025-01-23;9;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;São João Del Rei;F;entre 31 a 40 anos;2025-01-30;8;Nubank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Investimentos / Aplicações / Câmbio / Previdência Privada;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2025-01-04;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Taboão da Serra;F;entre 31 a 40 anos;2025-01-23;;Centro Universitário FMU;Estabelecimentos de Ensino;Educação;Superior ( Graduação e Pós );Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;N;Finalizada avaliada;Não Resolvida;1
N;PA;Ananindeua;M;entre 31 a 40 anos;2025-01-03;8;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Taubaté;F;entre 61 a 70 anos;2025-01-06;7;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Renegociação / parcelamento de dívida;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;3
NE;MA;Brejo;M;entre 51 a 60 anos;2025-01-07;7;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Loja física;S;S;Finalizada avaliada;Não Resolvida;5
SE;SP;São Paulo;M;entre 41 a 50 anos;2025-01-17;8;Smartfit;Serviços Esportivos;Demais Serviços;Cultura / Esporte / Lazer / Eventos (shows, jogos, cinema, teatro, festas, clubes, academias de ginástica);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Resolvida;1
SE;RJ;Maricá;M;entre 31 a 40 anos;2025-01-20;6;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança por serviços não realizados / atrasados ou por consumo elevado;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S;RS;Severiano de Almeida;M;entre 21 a 30 anos;2025-01-03;8;Banco Inter (Banco Intermedium);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Dificuldade de contato / acesso;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S;PR;Curitiba;F;entre 41 a 50 anos;2025-01-08;7;Unimed Curitiba;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Cobrança de valores não previstos / não informados (multa, encargos, honorários etc);Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
CO;GO;Goiânia;M;entre 21 a 30 anos;2025-01-01;10;Equatorial Goiás;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Faturamento Mini/Microgeração - erro no cálculo/uso dos créditos (energia solar, eólica etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S;SC;Criciúma;F;entre 21 a 30 anos;2025-01-02;6;Crefisa;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 31 a 40 anos;2025-01-09;5;Latam Airlines (Tam);Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Cancelamento de voo;Internet;N;S;Finalizada avaliada;Resolvida;5
S;SC;Criciúma;M;entre 61 a 70 anos;2025-01-06;;Porto Seguro Cartões e Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cartão não solicitado - Envio ou cobrança;Internet;S;N;Finalizada avaliada;Não Resolvida;1
SE;MG;Belo Horizonte;F;entre 31 a 40 anos;2025-01-25;1;Shopee Brasil;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Bragança Paulista;M;entre 31 a 40 anos;2025-01-21;6;Dental Uni;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano Odontológico (convênio, autogestão, seguro saúde );Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;M;entre 41 a 50 anos;2025-01-07;6;Brasilseg (BB Seguros);Seguros, Capitalização e Previdência;Serviços Financeiros;Seguro Residencial / Condomínio;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;AL;Maceió;M;entre 31 a 40 anos;2025-01-07;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;S;S;Finalizada avaliada;Não Resolvida;1
CO;GO;Catalão;M;entre 31 a 40 anos;2025-01-01;10;Equatorial Goiás;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Contrato / Oferta;Dificuldade para Conexão de Mini/Microgeração (energia solar, eólica etc);Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;São Francisco do Conde;F;entre 61 a 70 anos;2025-01-09;1;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Serviços de entrega / delivery;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;CE;Fortaleza;M;entre 31 a 40 anos;2025-01-01;8;Latam Pass;Programas de Fidelidade;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2025-01-29;5;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S;SC;Chapecó;M;entre 51 a 60 anos;2025-01-02;1;Smiles;Programas de Fidelidade;Demais Serviços;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Sertãozinho;F;entre 41 a 50 anos;2025-01-06;7;C6 Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada avaliada;Não Resolvida;1
